Feature_ID	Feature	Possible Values	Language_ID	Value	Source	Comment	Contributed_Datapoints	Clarifying comments	Relevant unit(s)	Function	Form	Patron
GB084	Is there overt morphological marking on the verb dedicated to future tense?	1: present, 0: absent						This question aims to capture [productive](https://github.com/grambank/grambank/wiki/Productivity) paradigms of overt tense marking. 'Morphological marking on the verb' means that the marker has to form a [phonological unit](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) with the verb. The marking of tense can involve affixes, clitics, suppletion, tonal marking and/or reduplication. This feature aims to capture overt marking of future tense on the verb. Lack of other marking is not enough. There are instances where TAM can be expressed by a combination of an affix and an auxiliary or particle. For example, some grammarians state that future tense is expressed by a certain marker on the verbal root and an auxiliary. If this is a [productive](https://github.com/grambank/grambank/wiki/Productivity) and [obligatory](https://github.com/grambank/grambank/wiki/Obligatoriness) way of expressing future tense then this construction triggers 1 for both this feature (GB084) and the feature on tense auxiliaries ([GB121](https://github.com/grambank/Grambank/wiki/GB121)). If not all parts of the discontinuous marking are necessary for expressing future tense, only consider the marking that is obligatory.  Sometimes a language will be described as having a past/non-past distinction. In this case, if there is an overt marker of non-past code the language as 1 for the feature on present tense ([GB082](https://github.com/grambank/Grambank/wiki/GB082)), but 0 for this feature (GB084). Future tense needs to be more dedicated to actual future reference, whereas present tense has less strict demands on the scope of its function.  It can be hard to distinguish future tense from different modal categories, after all if something is in the future it has not yet occurred and can be construed as something wished for, planned, intended, etc. For this reason, it is necessary to pay particular attention to sections on mood, especially irrealis, when coding for future tense.  If a language only has future tense under negation, this does not count for this feature. It needs to be present for affirmation as well. The reason for this is that conditions such as 'only under negation' are likely to give rise to quite different analysis by different linguists (hence it is hard to ensure comparability) and might also be overlooked. If we were to treat such marginal cases as triggering 1 we would most likely have to go back to a lot of the cases that were coded as 0 and re-evaluate their coding more thoroughly.	verb	TAM, tense	conjugation	Hedvig Skirgård
GB086	Is a morphological distinction between perfective and imperfective aspect available on verbs?	1: present, 0: absent						This feature is concerned with [phonologically bound](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) marking of imperfective and perfective grammatical aspects. These categories could go by the name of punctual and continuous, preterit and progressive, etc. The answer could be 1 even if only one of these is overtly marked, e.g. if the imperfective is marked by an affix and the perfective is marked by an auxiliary. Please take notice that this feature (GB086) and the features on aspectual auxiliaries [GB120](https://github.com/grambank/Grambank/wiki/GB120) and particles [GB520](https://github.com/grambank/Grambank/wiki/GB520) do not cover exactly the same functions. The features on auxiliaries and particles cover more grammatical aspects than just perfective and imperfective.  If this distinction is only available in some TAM-conditions, this counts as well. For example, if there is no aspectual distinction in the past but it only exists in the present, this still triggers a 1.	verb	TAM, aspect	conjugation	Hedvig Skirgård
GB089	Can the S argument be indexed by a suffix/enclitic on the verb in the simple independent clause?	1: present, 0: absent						Is there a [phonologically bound](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) [S argument](https://github.com/grambank/grambank/wiki/Core-arguments-(S,-A-and-P)) [index](https://github.com/grambank/grambank/wiki/Indexing-vs.-pronouns) that follows its verbal host (i.e. attaches to it as a [suffix or an enclitic](https://github.com/grambank/grambank/wiki/Affixes-and-clitics))?	verb, index	argument marking, core arguments, person, number, gender	conjugation, indexing, suffixation	Alena Witzlack-Makarevich
GB090	Can the S argument be indexed by a prefix/proclitic on the verb in the simple independent clause?	1: present, 0: absent						Is there a [phonologically bound](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) [S argument](https://github.com/grambank/grambank/wiki/Core-arguments-(S,-A-and-P)) [index](https://github.com/grambank/grambank/wiki/Indexing-vs.-pronouns) that precedes its verbal host (i.e. attaches to it as a [prefix or a proclitic](https://github.com/grambank/grambank/wiki/Affixes-and-clitics))?	verb, index	argument marking, core arguments, person, number, gender	conjugation, indexing, prefixation	Alena Witzlack-Makarevich
GB091	Can the A argument be indexed by a suffix/enclitic on the verb in the simple independent clause?	1: present, 0: absent						Is there a [phonologically bound](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) [A argument](https://github.com/grambank/grambank/wiki/Core-arguments-(S,-A-and-P)) [index](https://github.com/grambank/grambank/wiki/Indexing-vs.-pronouns) that follows its verbal host (i.e. attaches to it as a [suffix or an enclitic](https://github.com/grambank/grambank/wiki/Affixes-and-clitics))?	verb, index	argument marking, core arguments, person, number, gender	conjugation, indexing, suffixation	Alena Witzlack-Makarevich
GB092	Can the A argument be indexed by a prefix/proclitic on the verb in the simple independent clause?	1: present, 0: absent						Is there a [phonologically bound](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) [A argument](https://github.com/grambank/grambank/wiki/Core-arguments-(S,-A-and-P)) [index](https://github.com/grambank/grambank/wiki/Indexing-vs.-pronouns) that precedes its verbal host (i.e. attaches to it as a [prefix or a proclitic](https://github.com/grambank/grambank/wiki/Affixes-and-clitics))?	verb, index	argument marking, core arguments, person, number, gender	conjugation, indexing, prefixation	Alena Witzlack-Makarevich
GB093	Can the P argument be indexed by a suffix/enclitic on the verb in the simple independent clause?	1: present, 0: absent						Is there a [phonologically bound](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) [P argument](https://github.com/grambank/grambank/wiki/Core-arguments-(S,-A-and-P)) [index](https://github.com/grambank/grambank/wiki/Indexing-vs.-pronouns) that follows its verbal host (i.e. attaches to it as a [suffix or an enclitic](https://github.com/grambank/grambank/wiki/Affixes-and-clitics))?	verb, index	argument marking, core arguments, person, number, gender	conjugation, indexing, suffixation	Alena Witzlack-Makarevich
GB094	Can the P argument be indexed by a prefix/proclitic on the verb in the simple independent clause?	1: present, 0: absent						Is there a [phonologically bound](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) [P argument](https://github.com/grambank/grambank/wiki/Core-arguments-(S,-A-and-P)) [index](https://github.com/grambank/grambank/wiki/Indexing-vs.-pronouns) that precedes its verbal host (i.e. attaches to it as a [prefix or a proclitic](https://github.com/grambank/grambank/wiki/Affixes-and-clitics))?	verb, index	argument marking, core arguments, person, number, gender	conjugation, indexing, prefixation	Alena Witzlack-Makarevich
GB095	Are variations in marking strategies of core participants based on TAM distinctions?	1: present, 0: absent						Marking strategies of core participants include both marking by [indexing](https://github.com/grambank/Grambank/wiki/Indexing-vs.-pronouns) and by flagging (i.e. case or adposition marking). Variations in marking strategies include both variations in the alignment patterns and variations in position (e.g. suffixing vs. prefixing) in case of indexes. This question includes some of the cases referred to as (alignment) split in the literature. Merely different allomorphs of person/number indexes in the same position do not count. Polarity (i.e. positive vs. negative distinction) does not count as a TAM category. Absence of overt indexing in the imperative does not count either.	verb, index	argument marking, core arguments, TAM, tense, aspect, mood, modality, person, number, gender	flagging, indexing	Alena Witzlack-Makarevich
GB096	Are variations in marking strategies of core participants based on verb classes?	1: present, 0: absent						Marking strategies include both marking by [indexing](https://github.com/grambank/Grambank/wiki/Indexing-vs.-pronouns) and by flagging. The distinction between intransitive and transitive verbs is not included here. Variations in marking strategies include both variations in the alignment patterns and variations in position (e.g. suffixing vs. prefixing) in case of indexes. Mere differences in forms of the indexes triggered by various conjugation classes are not sufficient for 1. For a language to be coded 1 the respective verb classes need to be of a substantial size (several dozen verbs or more) and ideally represent a [productive](https://github.com/grambank/grambank/wiki/Productivity) pattern. The presence of small verb classes whose members are often exhaustively listed in a descriptive grammar and are presented as exceptional patterns does not qualify as 1. The patterns of interest are more common with intransitive verbs and include cases of the so-called active-inactive alignment (or simply: active, agentive-patientive or stative-active) in cases of differentially marked [S arguments](https://github.com/grambank/grambank/wiki/Core-arguments-(S,-A-and-P)). Some grammars use the terms unergative-unaccusative verbs. The pattern of interest is, however, not restricted to the S argument. Variations in marking of [A and P arguments](https://github.com/grambank/grambank/wiki/Core-arguments-(S,-A-and-P)) are also included.	verb, index	argument marking, core arguments, verb classification, person, number, gender	flagging, indexing	Alena Witzlack-Makarevich
GB098	Are variations in marking strategies of core participants based on person distinctions?	1: present, 0: absent						Marking strategies of core participants include both marking by [indexing](https://github.com/grambank/Grambank/wiki/Indexing-vs.-pronouns) and by flagging (i.e. case or adposition marking). Variations in marking strategies include both variations in the alignment patterns and variations in position (e.g. suffixing vs. prefixing) in case of indexes. Mere differences in forms of the indexes triggered by various conjugation classes are not sufficient for a 1. This question includes cases referred to as person-based (alignment) split and hierarchical alignment in the literature.	verb, index, pronoun	argument marking, core arguments, person, person, number, gender	flagging, indexing	Alena Witzlack-Makarevich
GB099	Is there verb suppletion for participant person?	1: present, 0: absent						Do some verbs have two or more suppletive allomorphs whose distribution is conditioned by the person of an [S, A, or P](https://github.com/grambank/grambank/wiki/Core-arguments-(S,-A-and-P)) argument? Suppletive allomorphs are allomorphs which are not similar in pronunciation, i.e. they cannot be related to each other by morpho-phonological rules. This question covers strong suppletion, weak suppletion, and ablaut. There must be at least **three** such verbs to code 1 for this feature.	verb	person, argument marking, core arguments	suppletion, ablaut, conjugation	Alena Witzlack-Makarevich
GB103	Can a verb have a benefactive marker (applicative marker or index)?	1: present, 0: absent						This question concerns a [phonologically bound](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) verbal marker that signals that the verb has a beneficiary. The marker could be analyzed in the language-specific case as voice, [indexing](https://github.com/grambank/grambank/wiki/Indexing-vs.-pronouns) or a 'bound pronoun'. In some languages, applicative markers may be used to topicalize, focalize or background a beneficiary. This type of marking also counts for this feature. The marker does not have to index the beneficiary. Autobenefactive markers do not count and serial verb constructions that include a benefactive verb (typically 'give') do not count.	verb, index	argument marking, oblique, valency change, applicative, benefactive, derivation, valency increase	derivational morphology, conjugation	Jakob Lesage
GB104	Can a verb have an instrumental marker (applicative marker or index)?	1: present, 0: absent						This question concerns a [phonologically bound](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) verbal marker that signals that the verb has an instrument. In some languages, applicative markers may be used to topicalize, focalize or background the instrument. This type of marking also counts for this feature. The marker could be analyzed in the language-specific case as voice, [indexing](https://github.com/grambank/grambank/wiki/Indexing-vs.-pronouns) or a ‘bound pronoun’. The marker does not have to index the instrument.	verb, index	argument marking, oblique, valency change, applicative, instrumental, derivation, valency increase	derivational morphology, conjugation	Jakob Lesage
GB105	Can the recipient in a ditransitive construction be marked like the transitive patient?	1: present, 0: absent						As a ditransitive construction we consider constructions with ditransitive verbs expressing a physical transfer of possession or a mental transfer of messages (*give*, *lend*, *hand*, *feed*, *send*, *bring*, *show*, *tell*, *teach*). A ditransitive verb must allow overt expression of an agent, a theme and a recipient/addressee as separate NPs. The morphological marking of these arguments (e.g. accusative case, dative case vs. adposition marking) is irrelevant for counting a verb as ditransitive.  ‘Marking’ for the purposes of this feature includes both flagging (i.e. case and adposition marking) and [indexing](https://github.com/grambank/grambank/wiki/Indexing-vs.-pronouns) on the verb. 1 is primarily triggered by flagging. Only if there is no overt flagging for neither the P argument nor the recipient argument, indexing is considered. 1 covers both the ‘double-object construction’ and the ‘secondary-object construction’ of Haspelmath (2013).	noun, NP, verb, index, case marker	argument marking, core, oblique, verb classification, derivation	special construction, flagging, indexing, conjugation	Alena Witzlack-Makarevich
GB107	Can standard negation be marked by an affix, clitic or modification of the verb?	1: present, 0: absent						This feature refers to Standard Negation, i.e. the constructions that mark negation of (at least) dynamic (not-stative) verbal predicates in declarative mood. The marker has to form a [phonological unit](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) with the verbal root, be it by affixation, cliticization, suppletion, reduplication, tone, etc. For markers bound to auxiliaries, see [GB298](https://github.com/grambank/Grambank/wiki/GB298). If there is negative marking on the verb and elsewhere (for example by a particle) in the same construction, this is included in this feature.	verb	TAM, negation	conjugation	Hedvig Skirgård
GB108	Is there directional or locative morphological marking on verbs?	1: present, 0: absent						This question concerns a [phonologically bound](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) verbal marker that signals the direction or location of the event/state/action. A marker that indicates that something happens in multiple directions does not count here.	verb	argument marking, oblique, applicative, valency change, derivation, valency increase	derivational morphology, conjugation	Jakob Lesage
GB109	Is there verb suppletion for participant number?	1: present, 0: absent						Are there verbs that use a different stem depending on the number (singular, dual, plural, etc.) of a core participant? The participant triggering the suppletive choice could be [A, P, or S](https://github.com/grambank/grambank/wiki/Core-arguments-(S,-A-and-P)). Auxiliary verbs are also considered verbs for the purpose of this feature.  Suppletion is a process where a lexeme is changed in such a way that the new form does not resemble the previous when it appears in a different position in the paradigm. An example of this is English *went* and *go*. In this case, the verb is suppletive for tense. Only strong suppletion (different stems) counts. There should be at least three verbs with participant number suppletion to count as 1. If only one or two verbs are described as exhibiting suppletion, code 0. If the author gives two examples but states or implies that it is more common, code 1.  Only so called 'strong suppletion' counts here, 'weak' suppletion is not included.	verb	number, argument marking, core arguments	suppletion, conjugation	Hedvig Skirgård
GB110	Is there verb suppletion for tense or aspect?	1: present, 0: absent						Are there verbs that use a different stem depending on the tense or aspect (present, past, perfective etc.) they occur in? Suppletion is a process where a lexeme is changed in such a way that the new form does not resemble the previous when it appears in a different position in the paradigm. An example of this is English *went* and *go*. In this case, the verb is suppletive for tense. Only strong suppletion (different stems) counts, ‘weak’ suppletion is not included. At least three verbal concepts should indicate different tense or aspect values with suppletive stems to trigger a 1.	verb	TAM, tense, aspect	suppletion, conjugation	Hedvig Skirgård
GB111	Are there conjugation classes?	1: present, 0: absent						Are there multiple sets of verbs that each combine with different sets of (inflectional) markers in finite forms? We are concerned with whether there is non-phonological allomorphy of finiteness marking on verbs depending on which verb is chosen. Phonological rules are not considered here but they may correlate with non-phonological allomorphy. Conjugation classes that are lexically assigned are relevant for coding this feature. Please note that a class of suppletive verbs does not count.  Look for finiteness markers such as: * Person: first, second, third * Number: singular, plural, dual and trial * Gender: masculine, feminine or neuter * Tense: present, past, or future * Aspect: perfect, perfective, progressive * Mood: indicative, subjunctive, imperative, optative * Voice: active, middle, or passive	verb, index	TAM, tense, aspect, mood, modality, negation, verb classification, argument marking, core, oblique	conjugation	Jay Latarche and Jeremy Collins
GB113	Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?	1: present, 0: absent						This feature asks whether intransitive verbs can take a [phonologically bound morpheme](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) that signals the addition of just one role in the event denoted by the verb. This could be a causative affix or clitic, an applicative marker (benefactive, instrumental, etc.), etc. The marker has to be [productive](https://github.com/grambank/grambank/wiki/Productivity). Note that there is no logical dependency with [GB155](https://github.com/grambank/Grambank/wiki/GB155) on causative markers, as a language could have causatives that change a verb's valency from 2 to 3 but not from 1 to 2.	verb, index	valency change, derivation, valency increase, causative, applicative	derivational morphology, affixation	Jakob Lesage
GB114	Is there a phonologically bound reflexive marker on the verb?	1: present, 0: absent						A reflexive marker indicates that a participant is coreferential with another participant in the clause or sentence. This marker may indicate both reflexive and reciprocal functions. If a ‘middle-voice’ marker is used to mark reflexive functions, it also counts as a reflexive marker. Reduplication of verbs also counts. The reflexive construction needs to be [productive](https://github.com/grambank/grambank/wiki/Productivity), not limited to a small set of likely lexicalized verbs in the language, to trigger 1 for this feature.	verb, index	reflexive, valency change, derivation, valency decrease	derivational morphology, indexing	Jakob Lesage
GB115	Is there a phonologically bound reciprocal marker on the verb?	1: present, 0: absent						A reciprocal marker indicates that an action or feeling is mutual between two or more parties (e.g. *they love each other*; *they beat each other*). A reciprocal marker may indicate both reflexive and reciprocal functions. Reduplication of verbs also counts. Reciprocal marking needs to be [productive](https://github.com/grambank/grambank/wiki/Productivity), not limited to a small set of verbs in the language that are probably lexicalized. This feature targets [phonologically bound](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) reciprocal markers.	verb, index	reflexive, reciprocal, valency change, derivation, valency decrease	derivational morphology, indexing	Jakob Lesage
GB116	Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?	1: present, 0: absent						This question aims to capture the classification of shape, size or consistency of absolutive arguments with verbal classifiers. Incorporated nouns, verbal affixes or suppletive verb stems are types of [verbal classifiers](https://github.com/grambank/grambank/wiki/Noun-classes-and-classifiers). This feature is concerned with verbal classifiers and not whether the verb agrees with the [gender/noun class](https://github.com/grambank/grambank/wiki/Noun-classes-and-classifiers) of the noun. Verbal classifiers can, however, be identical or very similar to possessive, numeral or demonstrative classifier systems.	verb, index	nominal classification	incorporation, compounding, suppletion, affixation, conjugation	Jay Latarche and Jeremy Collins
GB117	Is there a copula for predicate nominals?	1: present, 0: absent						Is there a copula in use in an equative sentence when the predicate is a nominal? The copula must be expressed in at least some equative sentences with predicate nominals but need not be obligatory in these constructions. Both verbal copulas and pro-copulas (e.g. demonstratives or personal pronouns that link the subject and predicate nominals) are relevant for this feature. Please note that adjectives are not included within the category of ‘nominals’ here.	verb, copula, clause, noun, auxiliary	predication, verb classification	particle, auxiliary, absence vs. presence	Jay Latarche and Jeremy Collins
GB118	Are there serial verb constructions?	1: present, 0: absent						"This summary of serial verb constructions from [Haspelmath (2016: 296)](http://www.ling.sinica.edu.tw/Files/LL/Docments/Journals/17.3/LLN17.3-Haspelmath.pdf) serves as a good clarification: ""A serial verb construction is a monoclausal construction consisting of multiple independent verbs with no element linking them and with no predicate–argument relation between the verbs.""  Serial verbs are different from verb compounds, in that they are compositional: ""a serial verb construction must be a productive schematic CONSTRUCTION such that the meaning of a concrete construct can be determined on the basis of the meanings of its parts and the construction meaning. This means that non-compositional combinations of verbs do not fall within the definition."" By contrast, verbal compounds are lexicalized and often non-compositional.  Serial verb constructions are also defined in Grambank as different from clause-chaining. Clause chaining involves a series of verbs which are not inflected, and one verb which is (see [GB150](https://github.com/grambank/Grambank/wiki/GB150)). A serial verb construction is defined using Haspelmath's definition above, but in addition where it is not an example of clause chaining (i.e. it is not true that there is an inflected verb and the other verbs are missing inflection).  It is however possible for a language to have both serial verb constructions and clause chaining.  Serial verb constructions are also different from light verb constructions, which are made up of a verbal element and a lexical stem which is not an inflected verb, jointly determining argument structure (see [GB123](https://github.com/grambank/grambank/wiki/GB123)).  'Verb' here refers to words that can be used as independent verbs in the language in question; but it is also best if they are dynamic verbs, as per the definition in Haspelmath (2016), 'Verbs are defined as dynamic event expressions that do not have special coding when used in predication function'. Serial verb constructions which are more restricted than that, such as only applying to stative verbs (e.g. a verb meaning 'good'), should not be counted as 1."	verb	predication	special construction	Jay Latarche and Jeremy Collins
GB119	Can mood be marked by an inflecting word (‘auxiliary verb’)?	1: present, 0: absent						This feature covers all grammatical moods (the relationship between the referred event/state/action and other possible worlds, or speaker's attitude) and aims to capture [phonologically free](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) elements that inflect (i.e. change form depending on person, number and other categories of the core arguments). These markers are often described as ‘auxiliary verbs’ in the literature, but are also analyzed under other labels by some authors (such as STAMP morphemes (STAM = Subject-Tense-Aspect-Mood-Polarity) or inflecting pronouns). We are interested in grammatical marking, i.e. [dedicated](https://github.com/grambank/grambank/wiki/Dedicated-marking), [productive](https://github.com/grambank/grambank/wiki/Productivity) and [obligatory](https://github.com/grambank/grambank/wiki/Obligatoriness) marking.  While negation or interrogation can be considered as grammatical moods, they are not included in this feature.	auxiliary	TAM, mood, modality	auxiliary	Hedvig Skirgård
GB120	Can aspect be marked by an inflecting word (‘auxiliary verb’)?	1: present, 0: absent						This feature covers all grammatical aspects (internal temporal constitution of events/actions/states) and aims to capture [phonologically free](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) elements that inflect (i.e. change form depending on person, number and other categories of the core arguments). These markers are often described as ‘auxiliary verbs’ in the literature, but they are also analyzed under other labels by some authors (such as STAMP morphemes (STAM = Subject-Tense-Aspect-Mood-Polarity) or inflecting pronouns). We are interested in grammatical marking, that is, [dedicated](https://github.com/grambank/grambank/wiki/Dedicated-marking), [productive](https://github.com/grambank/grambank/wiki/Productivity) and [obligatory](https://github.com/grambank/grambank/wiki/Obligatoriness) marking.	auxiliary	TAM, aspect	auxiliary	Hedvig Skirgård
GB121	Can tense be marked by an inflecting word (‘auxiliary verb’)?	1: present, 0: absent						This feature covers all tenses (present, past, and future) and aims to capture [phonologically free](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) elements that inflect (i.e. change form depending on person, number and other categories of the core arguments). These markers are often described as ‘auxiliary verbs’ in the literature, but are also analyzed under other labels by some authors (such as STAMP morphemes (STAM = Subject-Tense-Aspect-Mood-Polarity) or inflecting pronouns). We are interested in grammatical marking, i.e. [dedicated](https://github.com/grambank/grambank/wiki/Dedicated-marking), [productive](https://github.com/grambank/grambank/wiki/Productivity) and [obligatory](https://github.com/grambank/grambank/wiki/Obligatoriness) marking.	auxiliary	TAM, tense	auxiliary	Hedvig Skirgård
GB122	Is verb compounding a regular process?	1: present, 0: absent						Verbal compounds are lexicalized, often non-compositional, constructions which combine two or more verb stems.  Languages with [serial verb constructions](https://github.com/grambank/Grambank/wiki/GB118) can often have verb compounds too, however they might not always be described as such.	verb	predication, derivation	compounding	Jay Latarche and Jeremy Collins
GB123	Are there verb-adjunct (aka light-verb) constructions?	1: present, 0: absent						A light-verb construction is a lexicalized complex predicate with two components: (1) a lexical stem which is not an inflected verb and (2) an inflectable verb, which is called the light verb. It is form-identical with a main verb, but used with a different meaning such that it ‘cannot be said to be predicating fully' (examples in English include _give a sigh_ or _take a plunge_) (Butt 2003).  Items that can occur as lexical stems in light-verb constructions are: (1) nouns (e.g. *do baby* in Ivorian English or *have sex* in English for ‘to copulate’), (2) adjectives (e.g. *make beautiful* in English), (3) non-inflectable items such as ideophones (e.g. *do ssss* for ‘to make an ssss sound’), or (4) verbs borrowed from other languages that do not inflect in the target language.  Regular verbs cannot occur as lexical stems in light-verb constructions, in the Grambank definition. This makes light verb constructions different from serial verb constructions and verbal compounding, which involve a sequence of more than one verb. Another difference is that there is a predicate-argument relationship between the light verb and the other lexical stem (e.g. in *do baby*, *baby* is the object of *do*), while in serial verb constructions the verbs do not have a predicate-argument relationship between them since they instead describe a sequence of events.	verb, noun	predication, derivation	special construction	Jay Latarche and Jeremy Collins
GB124	Is incorporation of nouns into verbs a productive intransitivizing process?	1: present, 0: absent						Noun incorporation is defined as a construction where obligatorily bare (i.e. articleless, numberless, modifierless) nouns must occur adjacent to or inside of the verb, in a fixed order. This feature essentially asks whether transitive verbs may be rendered intransitive by means of noun incorporation, and whether this process is productive. This need not be the default way of intransitivizing verbs, but the process must be [productive](https://github.com/grambank/grambank/wiki/Productivity). The incorporated noun in the construction of interest for this feature is semantically an argument of the verb. For example: *he was painting the bike* = *he was bike-painting*. Noun incorporation where the relevant noun functions as an adjunct or modifier does not count, e.g. *she was running like Jacob runs* = *she was Jacob-running*. A construction where it is necessary to overtly represent the relevant argument with an additional form other than the incorporated noun, for example with a pronoun, also does not count.	verb, noun	valency change, valency decrease, derivation	incorporation, compounding	Hannah J. Haynie
GB126	Is there an existential verb?	1: present, 0: absent						Is there an element expressing existential predication (*A book on that topic **exists**.*/*There **is** a book on that topic.*), that is **different from the equative or attributive copula**? It is possible that there are various existential verbs making further distinctions, temporary versus permanent existence, or that there is a special negative existential verb. The existential marker can be used for the expression of other functions, such as aspect, as long as it is **not** identical to the copula of identity or attribution (as is the case with *is*, *That book **is** part of a series.* and *That book **is** great*). The existential element need not fulfill all formal criteria to qualify as a verb. The existence of a negative existential alone is not sufficient for a 1. Locational or positional verbs are also not enough for a 1.	verb, copula, auxiliary	verb classification, predication	particle, auxiliary, absence vs. presence	Hedvig Skirgård
GB127	Are different posture verbs used obligatorily depending on an inanimate locatum's shape or position (e.g. ‘to lie’ vs. ‘to stand’)?	1: present, 0: absent						In some languages, locative predication (‘X is at Y’) always requires the use of a posture verb (e.g. ‘X sits at Y’ vs. ‘X lies at Y’). The posture verb depends on the shape or the position of the item that is located. For example, a bottle may always ‘stand’ somewhere and a ball may always ‘lie’ somewhere.  In these languages, a speaker could not simply say that something ‘is’ somewhere. Some posture verbs that may occur in languages are verbs for sitting, standing, hanging and lying. Note that this feature does not concern morphological marking of position or shape, but the use of different verbs for this purpose. If the posture verbs are clearly dominant in frequency this is sufficient to count as obligatory for the purpose of this question, even if non-posture verb alternatives are grammatical.	verb	verb classification, nominal classification, predication	suppletion, conjugation	Jakob Lesage
GB129	Is there a notably small number of verb roots in the language?	1: present, 0: absent						This feature tracks languages with few members in the word class which is most commonly known as ‘verbs’. If the word class ‘verbs’ contains approximately 100 roots or less, the language qualifies for this feature.  A large part of the grammar may be devoted to constructions where a verb from the closed class combines with open-class items to form predicates in most sentences. If a grammar never remarks on the size of the verbal inventory this almost always means that the language does not have a small number of verbs in the sense of the present question. If a language has a small number of verbs in this sense, typically a description will say that there is a closed class of verbs with few members.  In such languages, it is typically the case that what is described by one verb in other languages is instead expressed by so called ‘light verb constructions’ (see [GB123](https://github.com/grambank/Grambank/wiki/GB123)). For example, *do meeting* could express the meaning ‘to meet’. It is also possible for a language to have few verbs but no light-verb constructions.	verb	verb classification	inventory	Hedvig Skirgård
GB130	What is the pragmatically unmarked order of S and V in intransitive clauses?	multistate 1: SV; 2: VS; 3: both						This feature focuses on the relative order of subject and verb in intransitive clauses. All questions concerning order of constituents aim to capture the pragmatically unmarked order between full NP constituents (not pronouns). Do not consider ‘left or right-dislocation’, accompanied by intonational signals, or pragmatically marked constructions such as focus. If the verb phrase consists of several elements it is the lexical verb that counts. The position of auxiliaries/TAME marking elements can be ignored.	clause	predication	word order	Hannah J. Haynie
GB131	Is a pragmatically unmarked constituent order verb-initial for transitive clauses?	1: present, 0: absent						This feature focuses on the relative order of the verb and its [core arguments](https://github.com/grambank/grambank/wiki/Core-arguments-(S,-A-and-P)) in a transitive clause. Any constituents other than the core arguments (A, P) and the verb of a transitive clause should be ignored. All questions concerning order of constituents aim to capture the pragmatically unmarked order between full NP constituents (not pronouns). Do not consider ‘left or right-dislocation’, accompanied by intonational signals or pragmatically marked constructions such as focus. If the verb phrase consists of several elements it is the lexical verb that counts. The position of auxiliaries/TAME marking elements can be ignored.	clause	predication	word order	Hannah J. Haynie
GB132	Is a pragmatically unmarked constituent order verb-medial for transitive clauses?	1: present, 0: absent						This feature focuses on the relative order of the verb and its [core arguments](https://github.com/grambank/grambank/wiki/Core-arguments-(S,-A-and-P)) in a transitive clause. Any constituents other than the core arguments (A, P) and the verb of a transitive clause should be ignored. All questions concerning order of constituents aim to capture the pragmatically unmarked order between full NP constituents (not pronouns). Do not consider ‘left or right-dislocation’, accompanied by intonational signals or pragmatically marked constructions such as focus. If the verb phrase consists of several elements it is the lexical verb that counts. The position of auxiliaries/TAME marking elements can be ignored.	clause	predication	word order	Hannah J. Haynie
GB133	Is a pragmatically unmarked constituent order verb-final for transitive clauses?	1: present, 0: absent						This feature focuses on the relative order of the verb and its [core arguments](https://github.com/grambank/grambank/wiki/Core-arguments-(S,-A-and-P)) in a transitive clause. Any constituents other than the core arguments (A, P) and the verb of a transitive clause should be ignored. All questions concerning order of constituents aim to capture the pragmatically unmarked order between full NP constituents (not pronouns). Do not consider ‘left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus. If the verb phrase consists of several elements it is the lexical verb that counts. The position of auxiliaries/TAME marking elements can be ignored.	clause	predication	word order	Hannah J. Haynie
