Grambank_ID	sahul_abbrev	Feature	Relevant unit(s)	Function	Form	Feature patron	Clarifying Comments	Possible Values	Value	Grambank_ID_desc	Definition	main_domain	word order	ENumLab	ELab	Eris_Categories
GB028	inclexcldist	Is there a distinction between inclusive and exclusive?	pronoun, index, verb	clusivity, deixis, person, number	declension, paradigm, indexing	Hannah	Is there a pronoun or other marker that explicitly marks the inclusion of an interlocutor? This feature is not restricted to the pronominal system but includes person indexing as well. If inclusive is marked overtly in either the pronominal system or through verbal marking this is sufficient to trigger a (1) for this feature, even if exclusive has no overt morphological marking.	1: present, 0: absent	NA	GB028 Clusivity	Is there an inclusive/exclusive distinction?	pronoun	NA	6	PRO1	6PRO1
GB301	NA	Is there an inclusory construction?	NP, noun, pronoun	clusivity, deixis, person, number, coordination	declension, special construction	Jeremy	Definition: a plural NP that would be expressed in English by an expression of the type ‘Harald and I talked’ or ‘Harald and us talked’ is expressed by a construction of the type [superset: pronoun] [set: noun/Proper noun], e.g. ‘we.two Harald talked’ / ‘we Harald talked’, respectively. Note: In some languages this would be expressed by associative duals/plurals, e.g. Harald-AssDu / AssPl talked’ for ‘[Someone and] Harald talked’, though this tends to be used for non-first-person groups only. It is structurally different in that no part of the associative dual/plural construction refers directly to the superset. Clarification: the element expressing the superset could be either a free pronoun or a bound pronoun. Example (Bininj Gun-wok): Bulanj ngani-wam / [Name] 1duExcl-goPP / ‘Bulanj and I went.’	1: present, 0: absent	NA	GB301 Inclusory	NA	clause	NA	12	NP6	12NP6
GB265	NA	Is there a comparative construction that includes a form that elsewhere means 'surpass, exceed'?	verb, auxiliary, particle, clause, adjective	comparison, predication	auxiliary, particle	Hannah	"This feature identifies languages that have a comparative construction that involves a form (usually a verb form) meaning 'surpass' or 'exceed'. Typically, the standard of comparison is the direct object, the thing which is being compared to that standard is the subject, and there are two predicates: one expressing 'surpass/exceed', and one carrying relevant lexical information about the property under comparison (e.g. ""Ronald exceed be-tall Julia""). <CR><CR>Though this typical structure is quite common in languages that have a 'surpass/exceed' comparative construction, only the use of a 'surpass/exceed' form is required for this feature; it is not necessary for the standard to occur as a direct object or the thing being compared to serve as the subject in order to trigger a 1 value. The order of these predicates is not relevant for this feature, nor whether the property word is a verb or an adjective. The predicate expressing 'surpass/exceed' must also have functions besides comparison."	1: present, 0: absent	NA	GB265 COMPARExceed	NA	clause	NA	34	Comparative1	34Comparative1
GB270	NA	Can comparatives be expressed using two conjoined clauses?	verb, clause, adjective, sentence	comparison, predication	special construction	Hannah	"Is there a comparative construction comprised of two conjoined clauses? Specifically, this construction must involve two conjoined clauses, one with the standard-NP and one with the comparee-NP. These NPs have the same function in the clauses. Note that many if not most languages can juxtapose clauses in order to make comparisons (e.g. English ""She is nice and he is not nice""). Here we are focused on languages that have a dedicated comparative construction with this structure."	1: present, 0: absent	NA	GB270 COMPARConjoin	NA	clause	NA	34	Comparative3	34Comparative3
GB273	NA	Is there a comparative construction with a standard marker that elsewhere has neither a locational meaning nor a 'surpass/exceed' meaning?	verb, auxiliary, particle, clause, adjective, adposition	comparison, predication	flagging, indexing	Hannah	"This question is focused on comparative constructions that have a dedicated marker for the standard of comparison that does not fall under the umbrella of the locational comparative (GB266) or surpass/exceed comparative (GB255). Note that a language may have multiple comparative constructions, including a non-locational, non-surpass/exceed comparative as well as constructions that are described by those features.<CR><CR>Crucially the dedicated marker in this construction must not elsewhere have a surpass/exceed meaning or a locational meaning. It may, however, have other functions (e.g. temporal adverb or conjunction, among other possibilities). It is irrelevant whether this marker is phonologically free or not or whether it triggers agreement in case, gender, etc. <CR><CR>Historically, comparative constructions with dedicated markers (sometimes called ""particle comparatives"") grammaticalize from constructions of conjoined clauses. An example of a particle comparative would be the Germanic languages, such as English ""than"". Note that the marking of the property word is not relevant here (i.e. ""tall-er"")."	1: present, 0: absent	NA	GB273 COMPAROtherMarker	NA	clause	NA	34	Comparative4	34Comparative4
GB275	NA	Is there a bound comparative degree marker on the property word in a comparative construction?	adjective, clause	comparison, predication	declension, conjugation, special construction	Hannah	"This feature focuses on the presence of a bound marker of comparative degree on the property word in a comparative construction (e.g. -er in English ""tall-er""). We specifically focus on comparative constructions where the standard of comparison is overtly expressed (e.g. ""Maria is taller than John"") but also count clearly comparative forms where the standard of comparison is null/implied/inferred from context (e.g. ""Maria is taller""). This feature requires the degree marker to be phonologically bound to the property word."	1: present, 0: absent	NA	GB275 COMPDegreeBound	NA	clause	NA	3	ADJ5	3ADJ5
GB276	NA	Is there a non-bound comparative degree marker modifying the property word in a comparative construction?	adjective, clause, particle	comparison, predication	particle, special construction	Hannah	"This feature focuses on the presence of a phonologically non-bound marker of comparative degree that modifies the property word in a comparative construction (e.g. French ""plus grand""). We specifically focus on comparative constructions where the standard of comparison is overtly expressed (e.g. meanings like ""Maria is taller than John"") but also count clearly comparative forms where the standard of comparison is null/implied/inferred from context (e.g. meanings like ""Maria is taller""). The comparative constructions of interest express superiority (as in the French and English examples above), not inferiority (e.g. meanings like ""John is less athletic than Maria"").<CR><CR>This feature requires that the degree marker modify the property word, but not be phonologically bound."	1: present, 0: absent	NA	GB276 COMPDegreeFree	NA	clause	NA	3	ADJ6	3ADJ6
GB266	NA	Is there a comparative construction that employs a marker of the standard which elsewhere has a locational meaning?	verb, particle, clause, adjective, adposition	comparison, predication, argument marking, oblique, locative	flagging, indexing	Hannah	"This feature identifies comparative constructions that mark the standard of reference with an element that is otherwise locational or benefactive in meaning. In these constructions the standard NP is invariably constructed with a marker that also has a locational/adverbial function. Please note that benefactive markers are included here, following Stassen's category of locational comparatives. The marker of the property word is irrelevant for this feature (i.e. ""tall-er"")."	1: present, 0: absent	NA	GB266 COMPARLoc	NA	clause	NA	34	Comparative2	34Comparative2
GB146	controlpred	Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?	clause, verb, adjective, noun, case marker, NP	control, argument marking, core, oblique, verb classification	special construction, flagging, indexing, conjugation, declension	Jakob	"In a number of languages, predicates referring to uncontrolled events or states are encoded differently from those that refer to controlled events. Often, such a distinction surfaces in predicates referring to sensations (such as hunger, thirst, pain, cold, cramps, sleepiness ...), emotions (anger, happiness), or cognitive states (forgetting, remembering). Such uncontrolled predicates may be found in special constructions, different case frames ('sleep hits me', 'cramp footgrabs me'), they may form a special conjugation class of verbs or adjectives, there may be a dedicated (modal) marker for control vs. non-control, etc. The existence of verbal derivations such as passive or causative does not count as ""1"" here."	1: present, 0: absent	NA	GB146 VControl	Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?	nominal domain	NA	24	Verb Randos 1	24Verb Randos 1
GB020	defspecart	Are there definite or specific articles?	article, NP, demonstrative	definiteness, deixis	declension, particle, paradigm	Jeremy	"An article is a marker that accompanies the noun and expresses notions such as (non-)specificity, (in)definiteness and information status (new or given status). Sometimes these notions of specificity, definiteness and information status are summed up in the term ""identifiability"". Articles cannot occur independently, though they might be homophonous with pronouns or numerals that can. A language does not necessarily have both a non-specific/indefinite and a specific/definite marker. These markers often stem from very different sources (numerals and demonstratives) and need not be similar in formal expression or position.<CR><CR>Formal expression is irrelevant; articles can be free, bound, or marked by suprasegmental markers such as tone.<CR>Articles are different from demonstratives in that demonstratives occur in a paradigm where there are markers that have a clear spatial deictic function. As demonstratives can grammaticalize into definite or specific articles, they form a natural continuum making it hard to define discrete categories. Articles are more grammaticalized, i.e. are often obligatory in certain contexts that require definite or specific reference. Definite or specific articles can also grammaticalize from pronouns meaning 'a certain'. As articles necessarily accompany nouns, it is in these cases that it is necessary to investigate whether the marker can occur independently or not; if it can it is most likely a pronoun and not an article. Articles can be homophonous with pronouns and demonstratives, and also with classifiers."	1: present, 0: absent	NA	GB020 ARTDef	Are there definite or specific articles?	nominal domain	NA	1	ART1	1ART1
GB022	prenomart	Are there prenominal articles?	article, NP, demonstrative	definiteness, deixis	word order, declension, particle, paradigm, prefixation	Jeremy	All questions concerning order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.	1: present, 0: absent	NA	GB022 ARTPre	Are there prenominal articles?	nominal domain	NA	1	ART3	1ART3
GB021	indefarticle	Do indefinite nominals commonly have indefinite articles?	article, NP, demonstrative	definiteness, deixis	declension, particle, paradigm	Jeremy	In this question we need explicit support that indefinite NPs do/do not commonly occur with an indefinite/non-specific article. Indefinite articles can be homophonous with demonstratives, the numeral 'one' or classifiers.	1: present, 0: absent	NA	GB021 ARTIndef	Is an indefinite NP obligatorily accompanied by an indefinite (or non-specific) article?	nominal domain	NA	1	ART2	1ART2
GB023	postnomart	Are there postnominal articles?	article, NP, demonstrative	definiteness, deixis	word order, declension, particle, paradigm, suffixation	Jeremy	All questions concerning order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.	1: present, 0: absent	NA	GB023 ARTPost	Are there postnominal articles?	nominal domain	NA	1	ART4	1ART4
GB035	3termdems	Are there three or more distance contrasts in demonstratives?	demonstrative	deixis	declension, paradigm	Jeremy	Demonstratives are markers of a small set. This doesn't have to be only Euclidean distance (meters, inches etc.), it could also be concerned with near or far in relation to the interlocutors (cf. Wolof). If the system of demonstratives includes a marker that is anaphoric this does not count as a third distance.	1: present, 0: absent	NA	GB035 DEMDistContrast	Is there an opposition between three or more distance terms in the demonstrative system?	nominal domain	NA	2	DEM1	2DEM1
GB037	visnonvisdem	Do demonstratives show a visible-nonvisible distinction?	demonstrative	deixis	declension, paradigm	Jeremy	Is there a distinction visible-non-visible when referencing to items that are in the same relative distance, i.e. it is not relevant that demonstratives denoting far away reference often also imply non-visibility.	1: present, 0: absent	NA	GB037 DEMVisNonvis	Is the opposition visible-non-visible marked on demonstratives?	nominal domain	NA	2	DEM3	2DEM3
GB036	verticaldem	Do demonstratives show an elevation distinction?	demonstrative	deixis	declension, paradigm	Jeremy	Elevation is concerned with how high up or low an object is, altitude.	1: present, 0: absent	NA	GB036 DEMElevation	Is elevation morphologically marked in demonstratives?	nominal domain	NA	2	DEM2	2DEM2
GB151	switchref	"Is there an overt verb marker dedicated to signalling coreference or noncoreference between the subject of one clause and an argument of an adjacent clause (""switch reference"")?"	verb, clause, index	deixis, argument marking, core	conjugation, indexing	Hannah	Is there an overt marker, usually on the verb, that marks whether the argument has the same/different referent as an argument of the following clause? Some languages (e.g. Kashaya) signal switch reference by using different allomorphs of TAM markers depending on whether the subject of the following clause is the same or different. Some systems (e.g. Southeastern Pomo) only have special morphology to indicate different subjects, whereas the marker that is used for same subjects can also be used for some combinations of clauses with different referents.	1: present, 0: absent	NA	GB151 SwitchReference	Is there a morphologically-marked switch reference system?	verbal domain	NA	16	verb weirdos 2	16verb weirdos 2
GB025	orderdem	What is the order of adnominal demonstrative and noun?	demonstrative, NP	deixis, attribution	word order	Jeremy	Like all questions concerning order of elements, only the pragmatically unmarked orders are targeted.	multistate 1: Dem-N; 2: N-Dem; 3: both.	NA	GB025 DEMOrder	NA	nominal domain	NA	2	DEM6	2DEM6
GB038	demclassifier	Are there demonstrative classifiers?	demonstrative, classifier, NP	deixis, nominal classification, attribution	declension, paradigm, special construction, particle	Jeremy	Please note, this does NOT concern agreement with the noun class but a separate nominal classification system. This question concerns whether there exists a independent classifier system in demonstratives that is not related to the gender/noun class systems. This classifier system can however be symmetrical with numeral, possessive or verbal classifiers.	1: present, 0: absent	NA	GB038 DEMClassifier	Are demonstratives classified?	nominal domain	NA	2	DEM4	2DEM4
GB159	nounredup	Are nouns reduplicated?	noun	derivation	reduplication	Harald	The repetition of phonological material within a word for semantic or grammatical purposes is known as reduplication. In order for there to be a (1) here reduplication needs to be a productive pattern. Both full and partial reduplication count. The outcome of the process is not relevant, it is the part-of-speech of the roots that matter. As for the distinction between reduplication and repetition we follow the definitions used most often in the literature, i.e. basically Gil (2005): repetition is unconstrained by grammar, can take larger units than words, has an iconic interpretation and can result in more than 2 copies. Reduplication on the other hand is constrained by grammar, usually only concerns 2 copies, is a word-internal process and doesn't necessarily have an iconic interpretation. The reduplicated elements need not be identical with respect to tone.	1: present, 0: absent	NA	GB159 RedupNoun	Are nouns reduplicated?	nominal domain	NA	11	Nom Morph 1	11Nom Morph 1
GB160	otherredup	Are elements apart from verbs or nouns reduplicated?	adjective, ideophone, adverb	derivation	reduplication	Harald	The repetition of phonological material within a word for semantic or grammatical purposes is known as reduplication. In order for there to be a (1) here reduplication needs to be a productive pattern. Both full and partial reduplication count. The outcome of the process is not relevant, it is the part-of-speech of the roots that matter. As for the distinction between reduplication and repetition we follow the definitions used most often in the literature, i.e. basically Gil (2005): repetition is unconstrained by grammar, can take larger units than words, has an iconic interpretation and can result in more than 2 copies. Reduplication on the other hand is constrained by grammar, usually only concerns 2 copies, is a word-internal process and doesn't necessarily have an iconic interpretation. Reduplication is a productive pattern, a few examples of repetition of phonological material does not necessarily constitute evidence of reduplication. The reduplicated elements need not be identical with respect to tone. Word classes other than verbs and nouns that are subject to reduplication include adjectives (red-red) or adverbs (daily-daily). The element reduplicated in the feature needs to consistitute a phonological word (i.e., a reduplicated affix does not count).	1: present, 0: absent	NA	GB160 RedupOther	Are elements apart from verbs or nouns reduplicated?	nominal domain	NA	3	ADJ4	3ADJ4
GB158	verbredup	Are verbs reduplicated?	verb	derivation	reduplication	Harald	The repetition of phonological material within a word for semantic or grammatical purposes is known as reduplication. In order for there to be a (1) here reduplication needs to be a productive pattern and the copies need to be adjacent. Both full and partial reduplication count. The outcome of the process is not relevant, it is the part-of-speech of the roots that matter. As for the distinction between reduplication and repetition we follow the definitions used most often in the literature, i.e. basically Gil (2005): repetition is unconstrained by grammar, can take larger units than words, has an iconic interpretation and can result in more than 2 copies. Reduplication on the other hand is constrained by grammar, usually only concerns 2 copies, is a word-internal process and doesn't necessarily have an iconic interpretation. The reduplicated elements need not be identical with respect to tone.	1: present, 0: absent	NA	GB158 RedupV	Are verbs reduplicated?	verbal domain	NA	13	verb 9	13verb 9
GB048	agentivenmzr	Is there a productive morphological pattern for deriving an agent noun from a verb?	noun, verb	derivation, nominalization, gender	derivational morphology	Hedvig	"An agent nominalization is a new construction that is derived from a verb and that functions like a noun, and denotes an agent of an action. In English, we can exemplify this with the productive ""-er"" suffix (_baker, fisher, gardener_ etc). There needs to be productive derivation. Compounds of the verb root and a noun meaning ""person"" is likely not an action nominalization, bring it up for discussion if this is the only available construction that is mentioned in the descriptive material."	1: present, 0: absent	NA	GB048 NMZAgent	Is there a productive morphologically marked Agentive nominalization (sing-er)?	nominal domain	NA	23	Verbal Derivation 2	23Verbal Derivation 2
GB049	objectnmzr	Is there a productive morphological pattern for deriving an object noun from a verb?	noun, verb	derivation, nominalization, gender	derivational morphology	Hedvig	"An object nominalization is a new construction that is derived from a verb and that functions like a noun, and denotes the object/result of an action. There needs to be productive derivation. Compounds of the verb root and a noun meaning ""thing"" is likely not an action nominalization, bring it up for discussion if this is the only available construction that is mentioned in the descriptive material."	1: present, 0: absent	NA	GB049 NMZObject	Is there a productive morphologically marked Object nominalization (sing; song)?	nominal domain	NA	23	Verbal Derivation 3	23Verbal Derivation 3
GB047	actstatenmzr	Is there a productive morphological pattern for deriving an action/state noun from a verb?	noun, verb	derivation, nominalization, gender	derivational morphology	Hedvig	"An action nominalization is a new construction that is derived from a verb and that functions like a noun, and denotes an action or state. In English, we can exemplify this with ""the enemy’s **destruction** of the city"" Arrive -arriving would also serves as an example, or 'La concentracio´n de Sherlock Holmes duro´ cinco horas' in Spanish (‘Sherlock Holmes’ concentration lasted five hours’). There needs to be productive derivation, but they can also refer to states or events - not just actions. Compounds of the verb root and a noun meaning ""action/state/event"" is likely not an action nominalization, bring it up for discussion if this is the only available construction that is mentioned in the descriptive material."	1: present, 0: absent	NA	GB047 NMZActionState	Is there a productive morphologically marked Action/state nominalization (arrive-arrival)?	nominal domain	NA	23	Verbal Derivation 1	23Verbal Derivation 1
GB321	NA	Is there a large class of nouns whose gender/noun class is not phonologically or semantically predictable?	noun	gender	declension	Hannah	A noun class/gender system categorizes nouns for the purposes of grammatical agreement with other constituents in the nominal domain or with verbs, complementizers, or adpositions. This feature asks whether there is a large or open class of nouns whose gender/noun class assignment is not predictable based on phonology or semantics. In other words, such a class will appear to be assigned arbitrarily.	1: present, 0: absent	NA	GB321 GenderUnpredict	NA	nominal domain	NA	4	Noun Class10	4Noun Class10
GB051	sexgender	Is there a gender/noun class system where sex is a factor in class assignment?	noun	gender	declension	Hannah	A noun class/gender system categorizes nouns for the purposes of grammatical agreement with other constituents in the nominal domain or with verbs, complementizers, or adpositions. Gender/noun class assignment may be based on one or several factors. This feature focuses on whether biological sex is one of these factors for a given language. There must be a clear preference for certain nouns to be classified in certain gender categories as a result of their biological sex for this feature to be coded (1). That is, sex must be a relevant factor in the assignment of gender; however it does not need to be an absolute deciding factor or the only relevant factor in gender/class assignment.	1: present, 0: absent	NA	GB051 GenderSex	NA	nominal domain	NA	4	Noun Class2	4Noun Class2
GB052	shapegender	Is there a gender/noun class system where shape is a factor in class assignment?	noun	gender	declension	Hannah	A noun class/gender system categorizes nouns for the purposes of grammatical agreement with other constituents in the nominal domain or with verbs, complementizers, or adpositions. Gender/noun class assignment may be based on one or several factors. This feature focuses on whether the shape of an object is one of these factors for a given language. There must be a clear preference for certain nouns to be classified in certain gender categories as a result of their shape for this feature to be coded (1). That is, shape must be a relevant factor in the assignment of gender; however it does not need to be an absolute deciding factor or the only relevant factor in gender/class assignment.	1: present, 0: absent	NA	GB052 GenderShape	NA	nominal domain	NA	4	Noun Class3	4Noun Class3
GB054	plantgender	Is there a gender/noun class system where plant status is a factor in class assignment?	noun	gender	declension	Hannah	A noun class/gender system categorizes nouns for the purposes of grammatical agreement with other constituents in the nominal domain or with verbs, complementizers, or adpositions. Gender/noun class assignment may be based on one or several factors. This feature focuses on whether belonging to the kingdom of plants is one of these factors for a given language. There must be a clear preference for nouns that refer to plants to be classified in certain gender categories for this feature to be coded (1). That is, plant status must be a relevant factor in the assignment of gender; however it does not need to be an absolute deciding factor or the only relevant factor in gender/class assignment.	1: present, 0: absent	NA	GB054 GenderPlants	NA	nominal domain	NA	4	Noun Class5	4Noun Class5
GB192	NA	Is there a gender system where a noun's phonological properties are a factor in class assignment?	noun	gender	declension	Hannah	A noun class/gender system categorizes nouns for the purposes of grammatical agreement with other constituents in the nominal domain or with verbs, complementizers, or adpositions. Gender/noun class assignment may be based on one or several factors. This feature focuses on whether the phonological properties of the noun are one of these factors for a given language. There must be a clear preference for certain nouns to be classified in certain gender categories as a result of their phonological properties for this feature to be coded (1). That is, some phonological property of a noun must be a relevant factor in the assignment of gender; however it does not need to be an absolute deciding factor or the only relevant factor in gender/class assignment. Examples of phonological properties that may play a role in gender/class assignment include tone or initial consonants. Note that noun class/gender morphology may create phonological similarities across members of a certain noun class or gender; however, this is not sufficient for a (1) coding for this feature. Phonological properties must contribute to the categorization of nouns to classes/genders, rather than simply result from associated morphology.	1: present, 0: absent	NA	GB192 GenderPhono	NA	nominal domain	NA	4	Noun Class9	4Noun Class9
GB196	NA	Is there a male/female distinction in 2nd person independent pronouns?	pronoun	gender	declension, paradigm	Hannah	This feature asks whether the independent pronoun forms used for second person differ according to the sex of the referent. Specifically, languages that qualify for a (1) code for this feature will include a distinction between male and female forms in at least some categories of second person independent pronouns. Pronouns that contrast in gender categories other than male/female sex are not sufficient to satisfy this criterion. In many languages this contrast occurs only in the singular pronouns; that is, there is a contrast between male and female forms for second person singular, but not second person plural (or dual, or any other non-singular number category). In some languages there is a contrast in multiple number categories, including singular and some non-singular number categories. It is uncommon for a language to have a male/female contrast in non-singular second person pronouns, but not in the singular pronouns, however such languages also satisfy the criteria for this feature.	1: present, 0: absent	NA	GB196 PRO2PMascFem	NA	pronoun	NA	6	PRO10	6PRO10
GB197	NA	Is there a male/female distinction in 1st person independent pronouns?	pronoun	gender	declension, paradigm	Hannah	This feature asks whether the independent pronoun forms used for first person differ according to the sex of the referent. Specifically, languages that qualify for a (1) code for this feature will include a distinction between male and female forms in at least some categories of first person independent pronouns. Pronouns that contrast in gender categories other than male/female sex are not sufficient to satisfy this criterion. In many languages this contrast occurs only in the singular pronouns; that is, there is a contrast between male and female forms for first person singular, but not first person plural (or dual, or any other non-singular number category). In some languages there is a contrast in multiple number categories, including singular and some non-singular number categories. It is uncommon for a language to have a male/female contrast in non-singular first person pronouns, but not in the singular pronouns, however such languages also satisfy the criteria for this feature.	1: present, 0: absent	NA	GB197 PRO1PMascFem	NA	pronoun	NA	6	PRO11	6PRO11
GB053	animgender	Is there a gender/noun class system where animacy is a factor in class assignment?	noun	gender	declension	Hannah	A noun class/gender system categorizes nouns for the purposes of grammatical agreement with other constituents in the nominal domain or with verbs, complementizers, or adpositions. Gender/noun class assignment may be based on one or several factors. This feature focuses on whether the animacy of a noun is one of these factors for a given language. There must be a clear preference for certain nouns to be classified in certain gender categories as a result of their animacy for this feature to be coded (1). That is, animacy must be a relevant factor in the assignment of gender; however it does not need to be an absolute deciding factor or the only relevant factor in gender/class assignment. Note that while (biological) sex is generally associated with animate referents, a gender system that makes a distinction between male and female is not necessarily sufficient to trigger a (1) here. A gender system in which animacy is a relevant factor will often make a distinction between human or animal referents and non-living referents, and animate status may be extended to culturally important non-living entities (e.g. mythological figures) or objects (e.g. celestial bodies). A human/non-human distinction is sufficient for a (1) code.	1: present, 0: absent	NA	GB053 GenderAnimacy	Is animacy (without reference to sex)  a relevant category in the noun class/gender system?	nominal domain	NA	4	Noun Class4	4Noun Class4
GB170	NA	Can an adnominal property word agree with the noun in gender/noun class?	adjective, NP	gender, attribution	agreement, declension	Jeremy	Gender is defined as a fixed, closed class system of classes that nouns fall into, as opposed to noun classifiers which are more open and tend to be therefore larger in number.  This question is about whether adjectives (defined semantically as 'adnominal property words') show agreement with gender of nouns they modify.  This be true for more than a small class of semantically restricted adjectives; English 'blond' v. 'blonde' for example would not be enough to answer 1 for the question.  Code 1 even if it is restricted in a particular context, such as in the plural.	1: present, 0: absent	NA	GB170 ADJGender	NA	nominal domain	NA	3	ADJ7	3ADJ7
GB171	NA	Can an adnominal demonstrative agree with the noun in gender/noun class?	demonstrative, NP	gender, attribution, deixis	agreement, declension	Jeremy	Demonstratives can agree in gender/noun class with the head noun even if the head noun is not overtly marked for gender/noun class.	1: present, 0: absent	NA	GB171 DEMGender	NA	nominal domain	NA	4	Noun Class6	4Noun Class6
GB172	NA	Can an article agree with the noun in gender/noun class?	article, NP, demonstrative	gender, deixis, definiteness	agreement, declension	Jeremy	Articles can agree in gender/noun class with the head noun even if the head noun is not overtly marked for gender/noun class.	1: present, 0: absent	NA	GB172 ARTGender	NA	nominal domain	NA	4	Noun Class1	4Noun Class1
GB314	NA	Can augmentative meaning be expressed productively by a shift of gender/noun class?	noun	gender, derivation, nominalization, augmentative	declension, derivational morphology	Jeremy	Can augmentative function (i.e. larger size) be marked by a shift of nominal class? This needs to be a productive pattern. The system of nominal modification referred to in this question is not restricted to gender/noun class systems only. Augmentative function often also entails other meanings, but it needs to minimally encode larger size.	1: present, 0: absent	NA	GB314 AUGgender	NA	nominal domain	NA	4	Noun Class7	4Noun Class7
GB315	NA	Can diminutive meaning be expressed productively by a shift of gender/noun class?	noun	gender, derivation, nominalization, diminutive	declension, derivational morphology	Jeremy	Can diminutive function (i.e. smaller size) be marked by a shift of nominal class? This needs to be a productive pattern. The system of nominal modification referred to in this question is not restricted to gender/noun class systems only. Diminutive function often also entails other meanings, but it needs to minimally encode smaller size.	1: present, 0: absent	NA	GB315 DIMGender	NA	nominal domain	NA	4	Noun Class8	4Noun Class8
GB296	NA	Is there a phonologically or morphosyntactically definable class of ideophones that includes ideophones depicting imagery beyond sound?	ideophone	iconicity	declension, conjugation, word order	Jakob	Ideophones are marked words that depict sensory imagery, e.g. 'glimmer', 'twiddle, 'tinkle'. In some languages, ideophones may have different morphosyntactic characteristics from other word classes (e.g. they have different morphology, or they have no morphology at all while other classes do; or they may be extremely free when it comes to word order, in comparison to other words). They may also feature sounds that are not present anywhere else in the language. Every language probably has ideophones, but not every language has a very well defined class of ideophones. If an author doesn't mention anything at all about ideophones in an otherwise relatively comprehensive grammar, this is probably because ideophones are not a very well defined category and this question can be coded as 0 in these cases.	1: present, 0: absent	NA	GB296 Ideophones	NA	nominal domain	NA	35	Ideo	35Ideo
GB167	NA	Is there a logophoric pronoun?	pronoun	logophoricity, deixis, argument marking, core	declension, paradigm	Hannah	Logophoric pronouns are used distinguish reference to an individual whose speech or thought or feeling is being reported from other third-person referents. Unsurprisingly, then, logophoric pronouns are commonly found in reported speech contexts. This question concerns the existence of an anaphoric pronoun that specifically receives its referential identity from the 3rd person subject of the superordinate clause in a reported speech construction (i.e. the speaker/thinker/feeler). In other words, is there a special pronominal form that occurs in the complement clause of a speech or thought verb, that designates the subject of the speech/thought verb as its referent (as opposed to any other 3rd person referent)?	1: present, 0: absent	NA	GB167 PROLogophore	NA	pronoun	NA	6	PRO7	6PRO7
GB257	NA	Can polar interrogation be marked by intonation only?	verb, clause, sentence	mood, interrogation	intonation	Jeremy	We are looking for intonation only and no other markers in the clause which signals polar interrogation (such as a polar interrogative particle). Intonation is our focus, and not tone, because tone is a particle and bound to the constituent whereas intonation is not.	1: present, 0: absent	NA	GB257 QIntonation	NA	clause	NA	32	Interrogation1	32Interrogation1
GB260	NA	Can polar interrogation be indicated by a special word order?	verb, clause, sentence	mood, interrogation	word order	Jeremy	There is no other marker in the clause that signals polar interrogation, not even lack of finiteness compared to the affirmative.  There is allowed to be a different intonation from declarative sentences.	1: present, 0: absent	NA	GB260 QWordOrder	NA	clause	word order	32	Interrogation2	32Interrogation2
GB262	NA	Is there a clause-initial polar interrogative particle?	verb, clause, particle	mood, interrogation	particle, word order	Jeremy	Is there a particle that occurs at the beginning of the clause that is dedicated to marking questions that ask for the equivalent of a 'yes' or 'no' answer (as opposed to content questions)?  (definition taken from WALS chapter 116, 'Polar questions').	1: present, 0: absent	NA	GB262 QPartInitial	NA	clause	word order	32	Interrogation3	32Interrogation3
GB263	NA	Is there a clause-final polar interrogative particle?	verb, clause, particle	mood, interrogation	particle, word order	Jeremy	Is there a particle that occurs at the end of the clause that is dedicated to marking questions that ask for the equivalent of a 'yes' or 'no' answer (as opposed to content questions)?  (definition taken from WALS chapter 116, 'Polar questions').	1: present, 0: absent	NA	GB263 QPartFinal	NA	clause	word order	32	Interrogation4	32Interrogation4
GB264	NA	Is there a polar interrogative particle that most commonly occurs neither clause-initially nor clause-finally?	verb, clause, particle	mood, interrogation	particle, word order	Jeremy	Is there a particle that is dedicated to marking questions that ask for the equivalent of a 'yes' or 'no' answer (as opposed to content questions) that most commonly occurs in the middle of the clause, neither initially nor finally?  (definition taken from WALS chapter 116, 'Polar questions').	1: present, 0: absent	NA	GB264 QPartMedial	NA	clause	word order	32	Interrogation5	32Interrogation5
GB285	NA	Can polar interrogation be marked by a question particle and verbal morphology?	verb, clause, particle	mood, interrogation	particle, conjugation	Jeremy	Is there a polar interrogative construction in the language that consists of a combination of verbal morphology and a particle? This feature is concerned with constructions where these two elements are the only markers of polar interrogation, there should not be any other markers such as V-Not-V etc. Note that even a lack of finiteness can be considered as a marker of polar interrogation. Furthermore, tone (not intonation) is not included under 'particle' here. A special intonation is often present in polar interrogative clauses, if it occurs or doesn't occur in this construction has no effect on the coding.	1: present, 0: absent	NA	GB285 QPartVMorph	NA	clause	NA	32	Interrogation6	32Interrogation6
GB286	NA	Can polar interrogation be indicated by overt verbal morphology only?	verb	mood, interrogation	conjugation	Jeremy	There is no other marker in the clause that signals polar interrogation, not even lack of finiteness compared to the affirmative, but intonation may also be different between questions and declarative statements.	1: present, 0: absent	NA	GB286 QVMorph	NA	clause	NA	32	Interrogation7	32Interrogation7
